valueSetOid,valueSetName,version,code,display
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,224552008,Oncology nurse
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,224554009,Marie Curie nurse
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,224555005,Pain control nurse
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,224556006,Palliative care nurse
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,224557002,Chemotherapy nurse
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,224558007,Radiotherapy nurse
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,224559004,Recovery nurse
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,224560009,Stomatherapist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,224562001,Paediatric nurse
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,224563006,Psychiatric nurse
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,224564000,Community mental health nurse
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,224565004,Renal nurse
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,224566003,Haemodialysis nurse
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,224567007,Wound care nurse
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,224569005,Nurse grade
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,224570006,Clinical nurse specialist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,224571005,Nurse practitioner
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,224572003,Nursing sister
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,224573008,CN - Charge nurse
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,224574002,Ward manager
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,224575001,Nursing team leader
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,224576000,Nursing assistant
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,224577009,HCA - Healthcare assistant
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,224578004,Nursery nurse
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,224579007,Healthcare service manager
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,224580005,Occupational health service manager
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,224581009,Community nurse manager
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,224583007,Behavior therapist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,224584001,Behaviour therapy assistant
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,224585000,Drama therapist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,224586004,Domiciliary occupational therapist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,224587008,Occupational therapy helper
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,224588003,Psychotherapist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,224589006,Community-based physiotherapist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,224590002,Play therapist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,224591003,Play specialist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,224592005,Play leader
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,224593000,Community-based speech and language therapist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,224594006,Speech and language assistant
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,224595007,Professional counsellor
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,224596008,Marriage guidance counsellor
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,224597004,Trained nurse counsellor
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,224598009,Trained social worker counsellor
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,224599001,Trained personnel counsellor
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,224600003,Psychoanalyst
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,224601004,Assistant psychologist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,224602006,Community-based podiatrist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,224603001,Foot care worker
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,224604007,Audiometrician
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,224606009,Technical healthcare occupation
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,224607000,Occupational therapy technical instructor
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,224608005,Administrative healthcare staff
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,224609002,Complementary health worker
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,224610007,Supporting services personnel
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,224614003,Research associate
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,224615002,Research nurse
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,224620002,Human aid to communication
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,224621003,Palantypist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,224622005,Note taker
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,224623000,Cuer
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,224624006,Lipspeaker
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,224625007,Interpreter for British sign language
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,224626008,Interpreter for Signs supporting English
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,224936003,General practitioner locum
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,225726006,Lactation consultant
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,225727002,Midwife counsellor
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,265937000,Nursing occupations
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,265939002,Medical/dental technicians
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,283875005,Parkinson's disease nurse
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,302211009,Specialist registrar
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,303124005,Member of mental health review tribunal
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,303129000,Hospital manager
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,303133007,Responsible medical officer
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,303134001,Independent doctor
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,304291006,Bereavement counsellor
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,304292004,Surgeon
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,307988006,Medical technician
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,308002005,Remedial therapist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,309294001,Accident and emergency doctor
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,309295000,Clinical oncologist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,309296004,Family planning doctor
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,309322005,Associate general practitioner
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,309323000,Partner of general practitioner
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,309324006,Assistant GP
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,309326008,Deputizing general practitioner
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,309327004,General practitioner registrar
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,309328009,Ambulatory pediatrician
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,309329001,Community paediatrician
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,309330006,Pediatric cardiologist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,309331005,Pediatric endocrinologist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,309332003,Paediatric gastroenterologist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,309333008,Pediatric nephrologist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,309334002,Paediatric neurologist
2.16.840.1.113762.1.4.1099.30,CareTeamMemberFunction,20240605,309335001,Pediatric rheumatologist
